 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
0,OneMax,8,small,random_search,20,coarse,lin,0,6.0,0.49685534591194963,"[0, 1, 1, 1, 1, 0, 1, 1]"
1,OneMax,8,small,random_search,20,coarse,lin,1,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
2,OneMax,8,small,random_search,20,coarse,lin,2,7.0,0.7484276729559748,"[0, 1, 1, 1, 1, 1, 1, 1]"
3,OneMax,8,small,random_search,20,coarse,lin,3,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
4,OneMax,8,small,random_search,20,coarse,lin,4,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
5,OneMax,8,small,random_search,20,coarse,lin,5,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 0, 1]"
6,OneMax,8,small,random_search,20,coarse,lin,6,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
7,OneMax,8,small,random_search,20,coarse,lin,7,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
8,OneMax,8,small,random_search,20,coarse,lin,8,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
9,OneMax,8,small,random_search,20,coarse,lin,9,6.0,0.49685534591194963,"[0, 1, 1, 1, 1, 1, 1, 0]"
10,OneMax,8,small,random_search,20,coarse,lin,10,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
11,OneMax,8,small,random_search,20,coarse,lin,11,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
12,OneMax,8,small,random_search,20,coarse,lin,12,6.0,0.49685534591194963,"[1, 0, 1, 1, 0, 1, 1, 1]"
13,OneMax,8,small,random_search,20,coarse,lin,13,7.0,0.7484276729559748,"[0, 1, 1, 1, 1, 1, 1, 1]"
